Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.085531031,0.115738838,2600,50,TRUE
0.087236846,0.115361209,2700,50,TRUE
0.088961678,0.117266554,2800,50,TRUE
0.097455737,0.120386889,2900,50,TRUE
0.125913657,0.123243698,3000,50,FALSE
0.097932978,0.118816307,3100,50,TRUE
0.098475724,0.121766694,3200,50,TRUE
0.100608973,0.120044277,3300,50,TRUE
0.103957213,0.118727862,3400,50,TRUE
0.108640582,0.118544029,3500,50,TRUE
0.110700781,0.134025862,3600,50,TRUE
0.135770617,0.119102169,3700,50,FALSE
0.117104758,0.122083044,3800,50,TRUE
0.114902381,0.125526671,3900,50,TRUE
0.119136884,0.12744892,4000,50,TRUE
0.122853695,0.126125563,4100,50,TRUE
0.12265326,0.124170713,4200,50,TRUE
0.158190417,0.119825127,4300,50,FALSE
0.127428998,0.139434904,4400,50,TRUE
0.134778401,0.123711583,4500,50,FALSE
0.126781204,0.12352956,4600,50,FALSE
0.067682911,0.120391416,4700,50,TRUE
0.083554748,0.1202103,4800,50,TRUE
0.142149539,0.121568975,4900,50,FALSE
0.146154325,0.124680254,5000,50,FALSE
0.180450533,0.120920881,5100,50,FALSE
0.146835021,0.123980842,5200,50,FALSE
0.169499931,0.127320932,5300,50,FALSE
0.158898884,0.122458257,5400,50,FALSE
0.153826719,0.120867753,5500,50,FALSE
0.163691829,0.121356466,5600,50,FALSE
0.187611274,0.124747267,5700,50,FALSE
0.161014324,0.127541894,5800,50,FALSE
0.164026894,0.121230892,5900,50,FALSE
0.170299258,0.121482039,6000,50,FALSE
0.213873459,0.130578009,6100,50,FALSE
0.194075621,0.135588897,6200,50,FALSE
0.174630658,0.128436307,6300,50,FALSE
0.214333494,0.131023857,6400,50,FALSE
0.178127111,0.123825686,6500,50,FALSE
0.180347598,0.129021615,6600,50,FALSE
0.16411051,0.129340078,6700,50,FALSE
0.125699034,0.133308037,6800,50,TRUE
0.19199731,0.125273109,6900,50,FALSE
0.189569746,0.123776785,7000,50,FALSE
0.23534119,0.135029851,7100,50,FALSE
0.193841679,0.128283264,7200,50,FALSE
